new_id,id,text,label,source
58,58,"[유기적인 지식과 의사소통능력을 겸비한 인재]

도레이BSF의 연구개발 직무에는 정보의 분석력과 의사소통능력이 가장 중요하다고 생각합니다. 먼저 정보의 분석력을 갖추기 위해서는 이론적 지식과 이해가 바탕이 되어야 주어진 정보를 활용할 수 있고 분석할 수 있다고 생각합니다. 저는 재학 중인 금오공과대학교에서 다양한 film 중심의 재료에 관해서 공부하여 이론적 지식 습득에 최선을 다하였고, 우수한 성적으로 인정을 받았습니다. 고분자 전공에 대한 수업을 들으며 범용 고분자인 PE, PP, PVC등을 배우면서 이러한 film 제품을 만들기 위해 가장 중요한 것이 제품의 원료인 Monomer의 품질이라고 배웠습니다. 그 중 고분자 합성이라는 과목은 고분자를 다루는데 필수적인 과목입니다. 왜냐하면 일단 고분자라는 물질이 있어야 분석을 하고 성질을 파악 할 수 있기 때문입니다. 고분자를 합성 할 때 고려할 요소는 기기의 온도 및 첨가제와의 배합비율, 합성시간 등이 있습니다. 그래서 합성을 가르치던 교수님은 책의 내용뿐만 아니라 실제 공정에서 위와 같은 요소를 고려하지 않아 발생할 수 있는 문제점 및 해결책을 제시해 주셨습니다. 저는 고분자 합성을 통하여 일반적인 고분자 공정을 배워 기본적인 전공지식을 습득 하였습니다. 그리고 polymer 연구실에서 주로 사용하는 origin프로그램의 사용법 또한 익혔습니다. 여기에서 그치지 않고, 이러한 이론적 지식을 설계프로젝트, 기업탐방, 고분자산업 동향파악 등과 같은 활동으로 이론적 지식을 실제적으로 활용하기 위해 상당한 노력을 했습니다.

두 번째로, 의사소통능력을 갖추기 위해, 휴대폰조립 회사 생산부서에서 일을 한 경험이 있습니다. 당시 품질 관리 역할을 수행하던 중 갑자기 생산이 중단된 적이 있었습니다. 연구부서와 생산부서 간의 의사소통 결여로 인해 납품 해야 할 모델이 아닌 전혀 엉뚱한 제품을 생산했던 적도 있습니다. 구성원 내에서 협력과 소통이 긴밀히 이루어졌다면 손실을 줄일 수 있었을 것입니다. 당시 경험을 통해 깨달은 점이 있다면 소통을 위해서 여러 방법이 있지만 가장 선호하는 방법이 상대방의 의견들을 경청한 후, 의견을 종합하여 조율하는 것이 제가 가장 선호하는 방법이었으며, 가장 효율적인 성과를 낸 방법이었습니다. 이처럼 타 부서와 협력할 수 있는 원만한 대인관계 능력은 생산관리 직무 뿐만 아니라 연구 직무에서도 장점이 된다고 생각합니다.",0,human
10,10,저는 제가 맡은 분야에 최고의 전문가가 되고 프로가 되는 것이 저의 가치관 입니다. 제가 생각하는 가장 최고의 가치는 스스로 목표를 세우고 능동적이고 항상 도전적인 사고방식을 가지며 성공을 위하여 발로 뛰는 사람입니다. 저는 일단 목표를 정하고 그 주제는 바로 일에 매진하여 반드시 해내는 사람입니다. 그렇기 때문에 저는 매사에 일부로라도 노력하는 모습을 보입니다. 단순히 노력한다고만 해서 제가 원하는 것을 다 이루지는 못하겠지만 한 걸음 한걸음 노력하다보면 처음엔 닿을 수 없을 것 같던 목표도 시간이 지나고 바로 앞에 와있다는 것을 느낄 수 있었습니다. 그래서 전 현실에 안주하지 말고 더 행복지고 더 나은 목표를 위해 항상 노력합니다.,0,human
68,70,"[불안한 전망에도 끊임없이 도전하는 창의적 기업 NHN Ent.]

페이코 티머니, KB국민은행과 CGV와 함께하는 핀테크 사업, 더소울로 차이나조이 참가, 토스트캠으로 대표되는 하드웨어 시장 진출 등 시대의 흐름을 읽어 사업 분야를 넓혀나가는 도전의식이 저에게 입사동기를 불러일으켰습니다.

저 역시 마찬가지로 굉장히 도전을 즐기는 사람입니다. 총학생회에서 임원직을 맡았을 때, 학생 대표자 투표가 종이 시스템으로 진행되던 것을 전자투표로 바꾸기 위해서 선후배로 이뤄진 팀을 짜고 개발을 진행하면서 동시에 다른 대표자들이나 학교를 설득하기 위해 뛰어다녔던 경험이 있습니다.

더하여 모교 축제에서는 처음으로 게임대회가 메인 이벤트가 되도록 학교 축제를 구성하여 성공적으로 이끈적도 있습니다.

NHN Entertainment에 입사 후에는 신개척분야 한 곳을 도맡아 개발하고 발전시킬 수 있는 프로젝터 리더가 되고싶습니다.

제가 지금 느끼는 NHN Ent.는 '굉장히 도전적이고 혁신적인 기업'이라는 이미지를 제가 진행하는 프로젝트를 보고 미래의 대학생들이 느끼게 하고 싶습니다.",0,human
13,13,"세계 최초로 희토류 금속을 쓰지 않는 차량 듀얼클러치 변속기용 모터를 개발하는 등 LG이노텍은 그룹차원에서 자동차 부품사업에 적극 참여해 점차 확장하고 있습니다. 현재 자동차업계의 가장 큰 이슈는 '친환경차'로서, 친환경차에 대한 관심과 수요는 늘어나고 있으며, 친환경차 개발에 자동차의 미래가 달려있다 해도 과언이 아닐 것입니다. 자동차에 대한 관심으로 시작한 하이브리드 자동차 프로젝트 경험을 통해 급격히 성장하는 친환경차 부품분야에서 LG이노텍과 함께하고 싶습니다.",0,human
143,64,"삼성전자를 지원한 이유는 기술을 통해 산업과 일상의 기준을 만들어 온 기업이라고 생각했기 때문입니다. 반도체와 전자 산업 전반에서 삼성전자는 단순한 추격자가 아니라, 대규모 투자와 지속적인 연구개발을 통해 새로운 표준을 제시해 왔습니다. 이러한 환경에서 개인 역시 끊임없이 성장하지 않으면 안 된다는 점이 제 성향과 잘 맞는다고 느꼈습니다.

입사 후에는 주어진 역할을 정확히 수행하는 데 그치지 않고, 공정과 제품의 완성도를 높이는 데 기여하는 인재로 성장하고 싶습니다. 초기에는 현장과 업무 프로세스를 빠르게 이해하며 기본 역량을 다지고, 이후에는 문제의 원인을 구조적으로 분석해 개선안을 제시할 수 있는 엔지니어가 되는 것이 목표입니다. 장기적으로는 기술 경쟁력을 통해 삼성전자의 신뢰와 가치를 높이는 데 기여하는 것이 저의 꿈입니다.",1,ai
65,67,"가족들과 공동의 취미를 만들어 함께 즐기기
회사 은퇴 후 전 세계 크루즈 여행
언제 어디서나 남 부끄럽지 않은 떳떳한 삶",0,human
142,63,"대학 졸업을 앞두고 참여했던 외부 기업 연계 프로젝트에서 팀 내 핵심 인원이 중도에 이탈하는 어려움을 겪은 적이 있습니다. 일정은 이미 절반 이상 진행된 상태였고, 해당 인원이 맡고 있던 분석과 발표 자료 공백이 크게 느껴졌습니다. 팀 분위기도 빠르게 위축되며 프로젝트 자체가 무산될 가능성까지 제기되었습니다.

저는 상황을 방관하기보다 남은 팀원들과 역할을 다시 정리하는 데 집중했습니다. 우선 전체 일정과 산출물을 다시 점검해 반드시 필요한 핵심 과제부터 선별했고, 공백이 된 업무는 제 역량 범위 내에서 우선 맡아 진행했습니다. 부족한 부분은 야간 시간과 주말을 활용해 관련 자료를 학습하며 보완했고, 진행 상황을 수시로 공유해 팀원들의 불안을 줄이려 노력했습니다.

그 결과 프로젝트는 기한 내 마무리될 수 있었고, 외부 평가에서도 문제 해결 과정과 팀 대응력이 긍정적으로 평가되었습니다. 이 경험은 제게 어려운 상황일수록 누군가의 책임 있는 선택이 팀을 지탱한다는 것을 깨닫게 해주었습니다. 이후 저는 문제를 피하기보다 감당 가능한 역할부터 맡아 해결해 나가는 태도를 갖추게 되었고, 이는 제 성장의 중요한 기반이 되었습니다.",1,ai
17,17,"저는 ‘G9 투데이’상품과 같은 사람입니다. 크게 두 가지 면에서 저와 닮아있다고 생각합니다.
첫 번째 이유로는 ‘가격 대비 최고의 성능’입니다. 저도 G9의 상품들처럼, 집중력을 발휘할 때, 누구보다 최고의 효율을 자랑하는 사람입니다. 지난겨울 졸업프로젝트를 위해 안드로이드 앱 개발을 해야만 했습니다. 팀 내에 안드로이드 프로그래밍을 해본 사람이 없었고 저는 팀장으로서 책임감을 느껴 안드로이드 공부를 하기로 결심했습니다. 고도의 집중력을 발휘하여 2개월 만에 언어를 익히고, 개발까지 완료할 수 있었습니다. 
두 번째 이유는 ‘나도 모르는 내 마음을 알아채는 센스’입니다. G9의 상품들은 내가 미처 생각 못했던 필요한 제품들로 소비자의 요구를 충족시킵니다. 저도 이처럼 ‘누가 시키기 전에 필요한 일들을 미리미리 해놓는 센스’를 가진 사람입니다. 지난여름 인턴을 할 때, 개발환경설정을 위해 필요한 프로그램들을 가이드 문서를 참조하여 설치했었습니다. 하지만 몇 가지 중요한 내용이 빠져있어 설치에 어려움을 겪었습니다. 누가 시키지도 않았지만 설치하며 겪었던 상황들을 문서에 추가로 작성 하여, 센스있게 일을 잘 한다는 칭찬을 들었습니다.",0,human
60,61,"학창시절 ′ 교환학생 프로젝트′를 성공적으로 수행하였습니다.

부모님 도움없이， 등록금 마련과 교환학생을 가기 위해 진행한 개인 프로젝트입니다.

저는 강한 체력이 비서에게 필수라고 생각합니다. 비서로서 제가 모시는 분보다 더 일찍 출근해 그 날의 업무를 정리해 보고한 후， 바쁜 일정을 소화하는 회장님과 동행하며 일해야 하기 때문입니다. 저는 이 시기 많은 아르바이트를 병행했지만 꾸준한 체력과 스트레스 관리로 지치지 않고 목표를 향해 전진할 수 있었습니다. 그렇기에 야근과 조기출근도 체력면에서 무리가 없을 것이라 자부합니다.

프로젝트의 성공적인 결과를 가지고 태국에서 다양한 국적의 친구들을 사귀며， 4개월 동안 10곳 이상 배낭여행을 다녔습니다. 그곳에서 비서의 중요한 역량인 어학능력향상과 함께 세계를 무대로 향해 나아가야 한다는 글로벌마인드도 배울 수 있었습니다. 아이에스동서 입사 후 국제 비즈니스 매너， 타 문화에 대한 폭 넓은 이해 등 글로벌 역량을 키워 대내외적으로 인정받는 비서가 되겠습니다. 제 2 외국어 공부 등 끊임없는 자기계발로 성장하여 전문비서로서 경쟁력을 갖추고 업무에 임하겠습니다.",0,human
51,51,"학부생일 때 안드로이드와 게임에 관심이 많아서, 혼자서 커버할 수 있는 수준의 작은 안드로이드 앱을 만들어 보고자 했습니다. 그래서 한달 정도의 시간을 투자하여 작은 게임 앱을 만든 경험이 있습니다. 비록 화려하고 큰 앱은 아니었지만 짧은 기간동안 많은 것을 경험할 수 있었고 재밌었습니다. 앵그리버드처럼 여러 개의 스테이지도 구성하고 그림, 사운드에 사용할 리소스를 구하기도 하였습니다. 혼자서 책과 인터넷에만 의존하여 수행하다보니 어려운 점이 많았지만 스스로 최대한 생각해내고 많은 걸림돌을 해결해가다보니 어느 정도의 결과물을 만들 수 있었습니다. 또한 처음으로 마켓에 등록도 해보고 제 스마트 폰으로 직접 다운받아 플레이해보니 신기하기도 하고 특별한 경험이었다고 생각합니다. 누군가가 시켜서 하는 것이 아니라 스스로 하고 싶어서 계획하고 실행한 경험은 처음이었습니다. 이 경험을 통해서 미래에는 내가 정말 좋아하고 가슴이 뛰는 일을 하고 싶다는 생각이 들었습니다. 이렇게 도전정신과 열정을 갖고 내부적인 동기를 가지고서 능동적인 자세로 일을 한다면 직무를 효율적으로 수행할 수 있다고 생각합니다.
대학원에 입학한 후로는 학술대회에 참가하여 논문을 발표 하고 연구실 프로젝트와 관련한 데모를 구현함으로써, 이론으로만 알고 있던 지식을 다른 분야에 접목하고 활용할 수 있는 능력을 기를 수 있었습니다. 또한 제 연구 분야와 관련한 동향을 파악하고 새로운 아이디어를 얻기 위해 지속적으로 논문을 읽고 세미나에 참석하고 있습니다. 최근에는 이슈가 되고 있는 딥러닝 (Deep Learning)에 관심이 많아서 이와 관련한 논문들도 읽어보고 대표적인 딥러닝 기법들에 대해서도 공부를 했습니다. 이처럼 맡은 분야의 최신 동향에 항상 관심을 갖고, 변화에 뒤쳐지지 않는 능력도 직무 수행에 있어 중요하다고 생각합니다.",0,human
