id,text,label
1,"너도 나도 창의성, 발상의 전환이 필요하다고 외칩니다. 하지만 주구장창 발상의 전환에만 매몰되는 것이 혁신이 아닙니다. 가장 중요한 것은 기본에 충실히 하는 것입니다. 탄탄한 기본이 뒷받침된 상태에서 적재적소에 발상의 전환이 가미될 때 남들과 차별화된 결과를 얻을 수 있고, 이런 결과물이 혁신으로 인정받는 것입니다. 결과가 뒤따르지 않는 창의성, 혁신은 잠깐의 일탈일 뿐 인정받을 수 없습니다.",1
2,"다양한 현장을 넘나들고 취재한 경험을 통해 통합적 인재로 한발 나아갈 수 있었습니다. 최근 유행하는 겉핥기식 인문학 공부보다는 사안의 핵심을 좇으며 논리적 허점을 발견해내는 실용적인 기자적 특성을 기를 수 있었습니다. 또한 어릴 적부터 한자를 배워 사용했던 터라 2급 정도는 준비 없이 합격했습니다. 일례로 지난 50년간의 한문 자료를 정리하는 업무를 맡았습니다. 다른 직원들이 애를 먹는 한자들을 막힘없이 읽을 수 있어 월등히 빠른 속도로 업무를 처리했습니다.

이외에도 저는 학창시절 일탈부터 입시까지 수차례 실패하고 방황했고, 노가다와 택배알바부터 학원 강사 및 고액과외까지 여러 가지를 경험했습니다. 이런 다양한 삶을 맞닥뜨려온 경험과 계열을 넘나드는 특징이 앞으로의 시대에 필요한 통합적 인재상에 걸맞은 장점이라고 생각합니다.",1
3,"전략적 소통

소통은 끊임없이 벌어집니다. 선의를 가진 사람과 소통할 경우엔 문제가 없겠지만, 선의가 없거나 오히려 적의를 가진 사람들과 소통할 경우가 많습니다.

지난여름, 세탁소에 맡긴 코트가 분실됐습니다. 찾는 것이 우선이라 아저씨께 일주일 정도 찾아보고 없으면 배상을 요구했습니다. 하지만 겨울까진 기다리라는 말 뿐, 오히려 접수증 발급이나 접수 내용을 입력하지 않아서 세탁물을 받은 증거가 없으니 안 받았다고 하면 된다는 것이었습니다. 억울했지만 싸워봤자 해결은 소원할 것 같아 일단 기다리기로 했습니다. 이후 소비자원을 통해 세탁물 접수를 시인하는 녹취도 증거가 된다는 것을 알아내고는 바로 세탁물 수령을 인정할 예상 대본을 준비했습니다. 매달 진행상황을 물으며 녹음했고 12월에 찾아갔습니다. 처음엔 잡아뗐지만 바로 증거로 삼을 녹취파일을 제시하고 신고하려 하자 배상해줬습니다.

이처럼 어차피 불가피한 상황이라면 갈등을 키우기보다는 상황에 맞는 전략적인 소통이 매우 중요하다고 생각합니다.
",1
4,"저의 친한 친구들은 저를 보고 항상 열심히 살며, 힘차 보인다고 하며 체험 삶의 현장과 같다고 합니다. 이러한 이야기는 고등학교을 입학하고 많이 들었습니다. 저희 부모님께서는 요식업 사업을 몇 차례 하셨습니다. 그러나 사업이 매번 실패를 하셨고, 집의 경제사정도 많이 힘들어져서 부모님의 짐을 덜어드리고자 공부보다는 동대문에서 일을 하며 집안에 기둥이 되며 살아왔습니다. 그렇게 벌은 돈은, 일부는 용돈으로 쓰고, 나머지는 부모님에게 드렸습니다. 그리고 이 생활은 대학입학 후에도 이어졌고, 4년간 부모님의 금전적 도움 없이 손수 학비를 내며 학교를 다녔습니다. 얼마 전 부모님과 집에서 술을 한잔 할 때, 부모님께서는 부모의 역할을 제대로 하지 못해서 미안하다고 하였습니다. 그러나 오히려 저는 부모님에게 감사하였습니다. 공부만 하였더라면 지금의 사회경험, 많은 아르바이트로 채우고 배운 역량을 알 수 없었기 때문입니다. 저는 이론적인, 전문적인 지식은 남들에 비하여 많이 부족합니다. 그러나 남들보다 더 많은 아르바이트 경험을 통하여 일을 할 때 무엇에 중점을 두어야 하는지, 어떠한 역량이 필요한지, 경우의 수, 대처의 방법, 문제 해결 방법은 누구보다 뛰어나다고 생각합니다.",1
5,"많은 아르바이트를 하며 진로에 대한 탐색을 해보았습니다. 영업, 사무, 군인, 유통 등을 하며 많은 진로를 탐색하였고, 제가 지금까지 많은 사람들을 접하며 사람을 대하는 방법, 고객 서비스 정신, ROTC를 지내며 배운 리더십을 가장 크게 활용할 수 있는 곳이 유통이라는 확신이 들었습니다. 비록, 법학과를 나와 유통에 대한 전문적인 지식은 많이 부족합니다. 그러나 지식이 아닌 역량은 누구보다 뛰어나다고 확신합니다. 이러한 지식적인 측면을 보충하기 위하여 현재 유통관리사, 물류관리사를

",1
6,"많은 사람들은 저를 보고 멍부라 합니다. 멍부는 멍청하지만 부지런하다라는 속어입니다. 저는 항상 최고가 되기 위하여 남이 출근하기 전 가장 먼저 출근을 하여, 남보다 한번을 더 보고·확인합니다. 또한 퇴근하기 전에도 확인사항 준비와 체크, 우발사항 대비 근무사항을 확인하고 퇴근을 해왔습니다. 이러한 저를 보며, 많은 사람들은 아까 확인한 사항을 왜 다시 확인을 하느냐고 물어봅니다. 그럴 때마다 저는 ""항상 사람은 실수를 할 수 있고, 제가 확실히 확인해야 마음이 편합니다.""라고 합니다. 이러한 저를 보고 타인들은 멍청한 것인지 부지런하고 꼼꼼한 건지 모르겠다고 합니다.",1
7,"아르바이트 초기에는, 프로모션, 판촉 등이 고객들의 만족과 감동을 가져다 줄 것이라 생각하였습니다. 구매 금액에 대해 최대 효율을 발휘해야 한다는 생각이 강하였습니다. 그러나 시간이 지나고, 일을 하며, 퇴근할 때 장을 보며 가장 중요한 것은 사소한 불편함을 제거하여 고객에게 만족감을 제공하고 불만족과 불편함을 최소화 하자는 것이었습니다.새창",1
8,언제나 집안에 행복한 웃음소리가 끊이지 않는 즐거움이 넘치는 저희 집은 남들 모두 부러워하는 가정 이였습니다. 대학생인 남동생과 함께 화목하고 행복한 가정에서 자랐습니다. 저희 부모님께서는 교육데 대해서는 지금도 엄격하시지만 어린 시절부터 굉장히 예의를 중요하게 여기시고 키워주셨습니다. 그런 부모님이 가끔 미울 적도 있었지만 지금의 와서 느껴지는 것은 모든 충고가 나의 꿈을 이루기 위하여 하셨던 방침이라는 것을 깨닫고 너무 감사하였습니다. 저는 자신을 챙기기 보다는 상대방에 대한 배려가 더 많은 편입니다. 어렸을 때부터 장남으로 자라왔기 때문에 친구들과 주변사람들을 가장 중요하게 챙기는 성격입니다. 제가 장남으로 자라왔다고 해서 성격이 무뚝뚝 하거나 사교적이지 않다는 것은 아니고 상대방의 의견과 행동을 존중하고 많이 이해하는 편입니다.,1
9,제가 생각하는 직장의 의미는 자기자신에 대한 믿음이 있고 나의 꿈을 이루는 곳이라고 생각합니다. 항상 성실하고 최선의 노력을 다하면 어느 기업을 가도 성공적인 직장생활을 할 것이라고 생각합니다. 저는 서울보증보험에 입사하여 제가 지금까지 배워왔던 지식과 열정을 펼쳐보이고 싶습니다. 삶을 살아가면서 돈을 많이 버느냐 적게 버느냐도 중요하지만 그것보다는 저의 지식과 능력을 발휘하게 해주는 서울보증보험에서 일하고 싶습니다. 제가 만약 입사한다면 중소기업과 서민 등 어려움을 겪고 있는 계층에 대해 지속적으로 보증지원을 강화해나가겠습니다. 그리고 생계형 채무자를 대상으로 특별채무감면을 하고 감면혜택을 받은 사람들을 초청해 그들의 의견을 청취하는 등의 피드백을 공유하겠습니다. 청취한 의견 등으로 특별채무감면 성과를 분석해 서민들이 원하는 지원프로그램을 도입하고 서울보증보험의 비전인 ‘고객과 함께 성장하는 Best 신용파트너’에 맞춰 국가와 국민 기업 등 고객의 성공적인 경제활동을 지원하는데 저의 노력을 보태겠습니다.,1
10,"저는 제가 맡은 분야에 최고의 전문가가 되고 프로가 되는 것이 저의 가치관 입니다. 제가 생각하는 가장 최고의 가치는 스스로 목표를 세우고 능동적이고 항상 도전적인 사고방식을 가지며 성공을 위하여 발로 뛰는 사람입니다. 저는 일단 목표를 정하고 그 주제는 바로 일에 매진하여 반드시 해내는 사람입니다. 그렇기 때문에 저는 매사에 일부로라도 노력하는 모습을 보입니다. 단순히 노력한다고만 해서 제가 원하는 것을 다 이루지는 못하겠지만 한 걸음 한걸음 노력하다보면 처음엔 닿을 수 없을 것 같던 목표도 시간이 지나고 바로 앞에 와있다는 것을 느낄 수 있었습니다. 그래서 전 현실에 안주하지 말고 더 행복지고 더 나은 목표를 위해 항상 노력합니다.
",1
11,저에게 인생에서 의미있는 일은 여러 가지입니다. 저는 초등학교 때부터 시작한 봉사활동을 지금까지 계속 이어서 활동 하였습니다. 그럼으로써 이제는 그 아이들은 저의 또 다른 가족이라고 할 수 있을만큼 친해졌습니다. 뿐만 아니라 저는 대학교때 어학연수를 다녀오면서 외국인 친구들을 많이 사귀었습니다. 일본어와 영어를 유창하게 소화할 수 있어서 시민회관에서 운영하는 한국어 외국인 강사로도 초청되어 다양한 외국인들에게 한국어를 가르쳐 주었습니다. 그러면서 그동안 겪어보지 못했던 새로운 문화를 경험하고 배우면서 한층 더 성숙된 저의 모습을 볼 수 있었습니다. 그리고 저는 1년에 한 개씩 자격증은 꼭 따자는 목표를 가지고 있고 현재 보유하고 있는 자격증이 8개입니다. 매년 한 개씩 딸 수는 없었지만 그렇게 하기위해서 노력했고 결국 이런 경험들은 나중에 저의 직무를 수행하는데 있어서 큰 도움이 되리라고 생각됩니다.,1
12,"저는 서울보증보험에 입사하여 고객에게 격이 다른 서비스로 만족을 드리겠습니다 보증보험사와 같이 인적서비스에 비중이 큰 기업의 최고 가치는 고객이라고 할 수 있습니다. 얼마만큼 고객을 만족시키고 우리 매장을 언제든지 재방문 하고 싶도록 만드는 것이 가장 중요한 핵심요소라고 생각합니다. 저는 대학교를 졸업 하기 전 국민은행에서 소비자 고객만족 1등사원으로 6달 연속으로 뽑혔을 만큼 고객의 대한 지원과 고객이 무엇을 원하고 다양한Needs가 무엇인지 정확하게 파악하는 능력을 가지고 있습니다. 그러기 위해서는 물론 기업의 안정성과 경영이념도 중요하지만 무엇보다도 가장 중요한 것이 고객의 진정성있는 목소리를 듣고 최고의 서비스로 고객을 모시는 것이 가장 중요하다고 생각합니다. 저는 서비스 관련 경영학을 전공하면서 저의 능력을 통하여 고객의 긍정적인 반응을 이끌어내는 과정에 매우 흥미를 가지게 되었고 일반 사무직에서는 주로 주로 사람과 사람의 행동에서 일어나는 과정을 이해해야 되기 때문에 평소 세심히 관찰하는 습관을 가진 저와 적합하다고 판단하였습니다. 어느 고객에게나 똑같은 서비스가 아닌 고객 한분 한분에 특성을 제대로 파악하여 우리 기업에 대한 신뢰감을 주고 그에 대한 맞춤 서비스 자세로 서울보증보험에서 저의 업무 능력을 발휘해 보이겠습니다,",1
13,"세계 최초로 희토류 금속을 쓰지 않는 차량 듀얼클러치 변속기용 모터를 개발하는 등 LG이노텍은 그룹차원에서 자동차 부품사업에 적극 참여해 점차 확장하고 있습니다. 현재 자동차업계의 가장 큰 이슈는 '친환경차'로서, 친환경차에 대한 관심과 수요는 늘어나고 있으며, 친환경차 개발에 자동차의 미래가 달려있다 해도 과언이 아닐 것입니다. 자동차에 대한 관심으로 시작한 하이브리드 자동차 프로젝트 경험을 통해 급격히 성장하는 친환경차 부품분야에서 LG이노텍과 함께하고 싶습니다.",1
14,"품질은 브랜드 이미지를 좌우하는 중요한 가치이며, 저는 전 세계 200여개 글로벌 기업의 파트너로서 최첨단 미래를 열어가고 있는 LG이노텍의 품질보증분야에서 능력을 발휘하여 점차 수요가 늘어날 친환경차 부품 품질부문의 전문가로 성장하고 싶습니다.

지원분야에 대한 자신의 준비사항 및 구체적인 노력 내용과 이를 통해 확보된 역량을 기술해 주십시오.",1
15,"LG이노텍은 카메라모듈 태스크포스에서 ‘불량률 제로 프로젝트’를 성공적으로 달성하는 등 품질 경영의 성과를 거두고 있습니다. 고객에게 만족을 주는 품질은 긍정적 브랜드 이미지로 이어질 것입니다.

저는 산업 현장에서 품질의 중요성을 일찍이 깨닫고, 기계공학과 학생으로서 전공과목뿐 아니라 산업공학과의 과목도 병행하며 품질관리에 있어 필수적인 통계적 지식과 공정관련 지식들을 습득하였습니다. 그리고 친환경 자동차가 미래임을 느껴, 관심을 가지고 체계적으로 공부해왔습니다.

이러한 노력은 LG이노텍의 친환경 자동차 부품의 품질전문가로 성장하는데 큰 힘이 될 것입니다. 무한한 책임감과 열정으로 품질경쟁력 강화에 공헌하여 저와 LG이노텍 모두 친환경차 부품업계에서 Global Top이 되기 위해 최선을 다할 것을 약속드립니다.",1
